"date","close","volume","open","high","low"
"2016/01/15","95.4600","8095485.0000","95.0500","95.8757","94.2214"
"2016/01/14","97.5100","5085095.0000","96.3600","98.1800","95.3301"
"2016/01/13","96.0400","6161156.0000","99.0000","99.2000","95.7800"
"2016/01/12","98.5800","4456467.0000","98.8000","99.1690","97.2800"
"2016/01/11","97.9100","6863378.0000","98.5500","98.6699","96.7800"
"2016/01/08","97.9700","7015458.0000","99.6100","99.9900","97.7800"
"2016/01/07","99.1000","9255914.0000","99.9000","100.8000","98.8700"
"2016/01/06","101.5900","3732754.0000","101.5300","102.2300","100.9500"
"2016/01/05","102.9700","3652340.0000","102.9000","103.1800","102.3000"
"2016/01/04","102.7400","6138050.0000","102.5800","102.9500","101.5800"
"2015/12/31","104.3000","3652672.0000","104.9300","105.3158","104.3000"
"2015/12/30","105.3200","2406099.0000","105.9600","106.0000","105.2500"
"2015/12/29","106.1200","2508185.0000","105.6900","106.2400","105.5400"
"2015/12/28","105.0000","3479559.0000","104.8800","105.0000","104.3200"
"2015/12/24","105.2300","1460512.0000","105.2200","105.6000","105.0800"
"2015/12/23","105.3600","3342450.0000","104.6300","105.4000","104.5100"
"2015/12/22","104.0600","2876518.0000","103.6500","104.2599","103.0400"
"2015/12/21","103.1300","3240650.0000","103.1900","103.2800","102.3700"
"2015/12/18","102.9000","4207066.0000","104.1700","104.3600","102.9000"
"2015/12/17","104.6800","4939733.0000","106.4400","106.4700","104.6800"
"2015/12/16","106.2400","5972217.0000","105.4600","106.4182","104.7000"
"2015/12/15","104.7200","2918048.0000","104.4400","105.1900","104.3600"
"2015/12/14","103.6100","7236847.0000","103.3600","103.7200","102.1800"
"2015/12/11","103.2400","5100723.0000","104.1700","104.4300","103.0700"
"2015/12/10","105.3100","3684992.0000","105.1800","106.0600","104.9200"
"2015/12/09","105.0000","4180200.0000","105.5500","106.7500","104.4800"
"2015/12/08","105.9100","3149595.0000","105.9400","106.4000","105.2700"
"2015/12/07","106.5500","3000773.0000","107.2300","107.2700","106.0600"
"2015/12/04","107.3900","4520885.0000","105.8100","107.5400","105.6200"
"2015/12/03","105.4500","3345637.0000","107.2900","107.4800","105.0600"
"2015/12/02","107.0500","2937734.0000","108.1000","108.2650","106.8800"
"2015/12/01","108.1800","2444586.0000","107.5900","108.2100","107.3700"
"2015/11/30","107.1700","3617076.0000","107.7800","107.8500","107.1100"
